asset,time,open,high,low,close,vwap,volume,count
BTC,1660694400,23867.0,24438.0,23193.1,23336.2,23683.5,4531.95849704,31813
BTC,1660780800,23336.2,23590.0,23106.4,23192.3,23408.9,1904.60119868,17723
BTC,1660867200,23192.4,23192.4,20805.0,20832.2,21746.9,6696.80092911,37072
BTC,1660953600,20833.2,21368.4,20778.0,21139.9,21102.4,2228.32170943,17737
BTC,1661040000,21139.8,21812.8,21062.9,21514.4,21418.7,2571.55751085,16541
BTC,1661126400,21517.7,21521.1,20904.7,21410.4,21209.9,2750.79253849,19851
BTC,1661212800,21410.3,21660.0,20900.0,21524.0,21410.2,2658.65244741,19162
BTC,1661299200,21523.6,21904.4,21157.6,21375.1,21548.4,2330.74355158,17838
BTC,1661385600,21375.0,21811.9,21320.4,21566.0,21624.7,1888.21612714,16925
BTC,1661472000,21561.3,21875.0,20097.5,20251.9,21092.0,5812.78921407,32691
BTC,1661558400,20241.9,20362.5,19829.1,20032.7,20079.1,2074.60869907,17785
BTC,1661644800,20032.9,20154.8,19525.8,19539.8,19940.0,1840.85831555,15293
BTC,1661731200,19539.8,20413.0,19539.7,20296.4,20012.4,3339.64553929,20793
BTC,1661817600,20290.6,20576.4,19555.0,19812.4,20057.1,4000.28341019,23931
BTC,1661904000,19814.2,20473.4,19814.2,20052.6,20181.3,4013.35676203,24216
BTC,1661990400,20049.4,20195.0,19560.0,20127.8,19897.1,2829.58668692,23301
BTC,1662076800,20127.8,20434.9,19764.3,19954.6,20068.3,3594.85862645,20668
BTC,1662163200,19954.0,20047.4,19655.6,19834.9,19806.8,1409.93184893,11312
BTC,1662249600,19833.3,20010.0,19601.0,19995.8,19821.4,1308.9526711,10854
BTC,1662336000,20000.0,20045.0,19642.9,19790.5,19792.8,2418.52201396,15086
BTC,1662422400,19790.3,20171.2,18670.0,18792.9,19425.4,7780.18781792,32662
BTC,1662508800,18791.0,19457.0,18550.0,19283.1,18985.5,3929.64205899,23058
BTC,1662595200,19292.8,19441.8,19015.0,19322.1,19250.0,2781.27591459,19202
BTC,1662681600,19322.5,21585.1,19309.4,21375.4,20624.8,6607.96000464,35413
BTC,1662768000,21373.3,21800.0,21121.6,21650.4,21440.9,2229.18631665,18887
BTC,1662854400,21656.6,21850.2,21363.2,21844.6,21622.5,1949.29969214,15491
BTC,1662940800,21835.6,22475.0,21564.6,22401.3,22190.1,4241.18154876,26130
BTC,1663027200,22397.8,22790.0,19863.2,20173.6,21356.4,9152.50302423,44068
BTC,1663113600,20172.8,20525.0,19619.5,20233.0,20134.3,4155.45394503,25335
BTC,1663200000,20230.6,20335.7,19509.3,19700.6,19931.7,3130.97098746,24815
BTC,1663286400,19700.0,19888.3,19326.9,19795.3,19634.5,3660.73697088,19555
BTC,1663372800,19795.4,20197.8,19757.0,20118.0,19991.4,1889.86114721,15534
BTC,1663459200,20117.1,20119.5,19355.0,19427.0,19706.1,2462.50496609,16876
BTC,1663545600,19426.9,19678.6,18223.9,19539.8,18990.8,5171.34350562,27352
BTC,1663632000,19535.0,19629.1,18731.1,18870.0,19089.5,3495.73165845,23976
BTC,1663718400,18869.9,19888.0,18138.4,18469.2,18981.8,8199.87173157,34485
BTC,1663804800,18468.0,19500.0,18372.6,19409.1,19000.3,3386.5459023,21009
BTC,1663891200,19409.0,19479.8,18543.0,19289.0,18929.0,4124.02041642,22447
BTC,1663977600,19287.7,19299.0,18805.1,18928.3,19079.0,1584.79514179,13678
BTC,1664064000,18928.2,19175.0,18645.9,18801.5,18932.2,1829.44552012,14689
BTC,1664150400,18805.6,19307.7,18695.9,19228.1,19076.3,4007.13852756,21476
BTC,1664236800,19226.8,20383.0,18833.7,19090.1,19786.8,9140.83230363,33155
BTC,1664323200,19090.0,19773.3,18487.5,19400.0,19133.1,10143.14408014,31771
BTC,1664409600,19400.0,19647.8,18849.1,19600.1,19345.7,5281.66287706,28024
BTC,1664496000,19600.0,20177.1,19150.0,19425.2,19564.2,8327.92704339,39279
BTC,1664582400,19425.1,19478.6,19172.0,19316.1,19323.8,1680.93419445,19051
BTC,1664668800,19316.1,19393.7,18937.0,19057.8,19155.0,1799.11964791,12608
BTC,1664755200,19060.4,19700.0,18985.7,19639.6,19367.5,3507.0515593,20153
BTC,1664841600,19631.4,20475.0,19508.2,20347.9,20034.5,5668.96124874,24242
BTC,1664928000,20340.9,20360.9,19754.3,20162.7,20063.9,3851.61226863,19609
BTC,1665014400,20163.1,20449.8,19872.7,19955.8,20139.3,3542.0619383,20390
BTC,1665100800,19955.8,20054.7,19338.4,19532.8,19704.2,3678.17182192,19341
BTC,1665187200,19532.8,19615.0,19249.7,19417.5,19471.7,1337.85077668,10018
BTC,1665273600,19420.0,19559.5,19335.0,19443.5,19470.7,903.92350217,9334
BTC,1665360000,19443.5,19520.0,19040.0,19132.1,19291.0,2623.75289814,15727
BTC,1665446400,19132.1,19259.4,18860.0,19050.0,19062.4,3503.57513226,15956
BTC,1665532800,19050.0,19240.3,18937.3,19155.9,19103.3,2166.65828691,11521
BTC,1665619200,19155.8,19498.0,18163.1,19385.5,18775.2,8222.73523411,28857
BTC,1665705600,19385.4,19939.4,19083.2,19182.9,19558.6,5003.54669681,22790
BTC,1665792000,19182.4,19220.0,19000.0,19068.0,19144.3,1512.09133655,9863
BTC,1665878400,19070.6,19420.7,19066.8,19261.7,19213.0,1539.0807742,11694
BTC,1665964800,19261.8,19667.6,19160.0,19550.9,19477.8,3302.59357459,17684
BTC,1666051200,19549.8,19696.9,19110.0,19330.6,19416.7,3216.43210996,18235
BTC,1666137600,19329.1,19355.7,19071.2,19124.1,19197.3,2169.67020379,14961
BTC,1666224000,19124.1,19344.3,18900.3,19045.2,19106.6,2863.4811914,18863
BTC,1666310400,19045.2,19243.9,18657.1,19171.4,19020.7,3354.09133836,20651
BTC,1666396800,19175.7,19250.0,19123.1,19206.0,19177.6,591.65753127,8290
BTC,1666483200,19206.0,19679.7,19080.2,19569.9,19386.6,2135.1376603,12555
BTC,1666569600,19570.0,19591.3,19158.2,19332.2,19354.7,2866.23035029,16260
BTC,1666656000,19330.6,20400.0,19230.4,20085.2,19858.5,6743.9306896,25874
BTC,1666742400,20085.3,21021.2,20071.1,20775.9,20680.0,4891.69997701,22475
BTC,1666828800,20775.9,20871.3,20150.1,20286.4,20558.8,4075.22427609,19155
BTC,1666915200,20286.4,20743.0,20016.3,20603.8,20398.3,3853.30318377,16989
BTC,1667001600,20600.7,21074.4,20565.4,20813.6,20822.4,2053.92606404,14753
BTC,1667088000,20813.8,20925.0,20525.0,20625.0,20715.0,1600.23172923,11331
BTC,1667174400,20625.0,20823.0,20250.1,20499.7,20521.9,3143.69783041,17212
BTC,1667260800,20498.0,20677.0,20339.4,20486.5,20487.4,1738.25303671,14313
BTC,1667347200,20486.4,20864.3,20059.8,20153.5,20435.9,3924.50382374,22281
BTC,1667433600,20153.5,20383.0,20050.0,20209.1,20236.9,2864.18956176,17485
BTC,1667520000,20209.3,21333.3,20185.4,21148.7,20875.8,4476.41108197,25224
BTC,1667606400,21149.4,21469.3,21088.3,21299.5,21336.6,1536.47259662,16516
BTC,1667692800,21300.1,21360.0,20900.0,20910.8,21196.2,1320.06805441,13304
BTC,1667779200,20910.0,21074.8,20400.0,20597.4,20738.7,3018.76169663,19573
BTC,1667865600,20592.0,20670.4,17276.2,18544.8,19145.9,16695.47946846,84482
BTC,1667952000,18544.8,18577.0,15555.0,15863.7,16951.5,16008.05249838,75098
