time,signal
1660694400,
1660780800,
1660867200,
1660953600,
1661040000,
1661126400,
1661212800,
1661299200,
1661385600,
1661472000,
1661558400,
1661644800,
1661731200,
1661817600,2.0
1661904000,4.0
1661990400,2.0
1662076800,20.0
1662163200,14.0
1662249600,6.0
1662336000,37.0
1662422400,37.0
1662508800,24.0
1662595200,6.0
1662681600,38.0
1662768000,8.0
1662854400,38.0
1662940800,18.0
1663027200,30.0
1663113600,6.0
1663200000,14.0
1663286400,3.0
1663372800,9.0
1663459200,11.0
1663545600,13.0
1663632000,5.0
1663718400,7.0
1663804800,7.0
1663891200,9.0
1663977600,16.0
1664064000,23.0
1664150400,6.0
1664236800,5.0
1664323200,25.0
1664409600,7.0
1664496000,25.0
1664582400,8.0
1664668800,3.0
1664755200,9.0
1664841600,7.0
1664928000,4.0
1665014400,6.0
1665100800,11.0
1665187200,8.0
1665273600,6.0
1665360000,18.0
1665446400,3.0
1665532800,9.0
1665619200,4.0
1665705600,4.0
1665792000,17.0
1665878400,7.0
1665964800,7.0
1666051200,5.0
1666137600,5.0
1666224000,6.0
1666310400,6.0
1666396800,6.0
1666483200,7.0
1666569600,5.0
1666656000,5.0
1666742400,10.0
1666828800,4.0
1666915200,13.0
1667001600,8.0
1667088000,7.0
1667174400,10.0
1667260800,9.0
1667347200,11.0
1667433600,5.0
1667520000,6.0
1667606400,8.0
1667692800,9.0
1667779200,2.0
1667865600,38.0
1667952000,16.0
1668038400,40.0
1668124800,2.0
1668211200,11.0
1668297600,5.0
1668384000,5.0
1668470400,10.0
1668556800,10.0
1668643200,5.0
1668729600,11.0
1668816000,17.0
1668902400,44.0
1668988800,20.0
1669075200,42.0
1669161600,9.0
1669248000,3.0
1669334400,8.0
1669420800,8.0
1669507200,14.0
1669593600,4.0
1669680000,12.0
1669766400,9.0
1669852800,4.0
1669939200,9.0
1670025600,11.0
1670112000,15.0
1670198400,4.0
1670284800,8.0
1670371200,15.0
1670457600,13.0
1670544000,8.0
1670630400,6.0
1670716800,4.0
1670803200,4.0
1670889600,9.0
1670976000,5.0
1671062400,10.0
1671148800,42.0
1671235200,7.0
1671321600,10.0
1671408000,7.0
1671494400,12.0
1671580800,10.0
1671667200,21.0
1671753600,17.0
1671840000,16.0
1671926400,4.0
1672012800,36.0
1672099200,9.0
1672185600,38.0
1672272000,14.0
1672358400,5.0
1672444800,26.0
1672531200,10.0
1672617600,13.0
1672704000,10.0
1672790400,19.0
1672876800,16.0
1672963200,20.0
1673049600,11.0
1673136000,13.0
1673222400,10.0
1673308800,10.0
1673395200,7.0
1673481600,10.0
1673568000,9.0
1673654400,15.0
1673740800,7.0
1673827200,18.0
1673913600,7.0
1674000000,30.0
1674086400,14.0
1674172800,7.0
1674259200,10.0
1674345600,8.0
1674432000,11.0
1674518400,7.0
1674604800,8.0
1674691200,4.0
1674777600,2.0
1674864000,3.0
1674950400,5.0
1675036800,5.0
1675123200,6.0
1675209600,5.0
